Entry	Entry Name	Protein names	Gene Names	Organism	Length	Virus hosts
A0A0B4N6L9	A0A0B4N6L9_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6M2	A0A0B4N6M2_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6M3	A0A0B4N6M3_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6Y5	A0A0B4N6Y5_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6Y8	A0A0B4N6Y8_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6Z9	A0A0B4N6Z9_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N702	A0A0B4N702_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N708	A0A0B4N708_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N711	A0A0B4N711_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N716	A0A0B4N716_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N7I3	A0A0B4N7I3_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N7I9	A0A0B4N7I9_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N7J1	A0A0B4N7J1_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N7J3	A0A0B4N7J3_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N7J5	A0A0B4N7J5_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N7L0	A0A0B4N7L0_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4Q7Z0	A0A0B4Q7Z0_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0B4Q8M2	A0A0B4Q8M2_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1361	Homo sapiens (Human) [TaxID: 9606]
A0A0B4Q908	A0A0B4Q908_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0B4Q9M3	A0A0B4Q9M3_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0B4UE97	A0A0B4UE97_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0B5A1M3	A0A0B5A1M3_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0B5KTJ9	A0A0B5KTJ9_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0B5KY46	A0A0B5KY46_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0B5KY98	A0A0B5KY98_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0B5L4G8	A0A0B5L4G8_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0C5BB53	A0A0C5BB53_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Bovine coronavirus	1363	
A0A0D3MTU6	A0A0D3MTU6_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0D3MTV5	A0A0D3MTV5_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0D3MU58	A0A0D3MU58_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0D3MU71	A0A0D3MU71_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0G2RC85	A0A0G2RC85_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1353	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RC89	A0A0G2RC89_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1363	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RC93	A0A0G2RC93_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RC96	A0A0G2RC96_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RC97	A0A0G2RC97_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1356	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RCA0	A0A0G2RCA0_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RCA3	A0A0G2RCA3_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RCA7	A0A0G2RCA7_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1361	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RCA9	A0A0G2RCA9_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RCB2	A0A0G2RCB2_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RCC7	A0A0G2RCC7_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1356	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RCD5	A0A0G2RCD5_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RD16	A0A0G2RD16_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1361	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RD21	A0A0G2RD21_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1356	Homo sapiens (Human) [TaxID: 9606]
A0A0G2RD25	A0A0G2RD25_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0G2UN32	A0A0G2UN32_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0G3U597	A0A0G3U597_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0G4AKW3	A0A0G4AKW3_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0H4JBS8	A0A0H4JBS8_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0K0KPB6	A0A0K0KPB6_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0K0KPM4	A0A0K0KPM4_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1361	Homo sapiens (Human) [TaxID: 9606]
A0A0K0KPR8	A0A0K0KPR8_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0K0L8I8	A0A0K0L8I8_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1361	Homo sapiens (Human) [TaxID: 9606]
A0A0K0L9B0	A0A0K0L9B0_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1364	Homo sapiens (Human) [TaxID: 9606]
A0A0K0L9E5	A0A0K0L9E5_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0K0L9K1	A0A0K0L9K1_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0K1Z054	A0A0K1Z054_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Bat SARS-like coronavirus YNLF_34C	1241	
A0A0K1Z074	A0A0K1Z074_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Bat SARS-like coronavirus YNLF_31C	1241	
A0A0K2RVK5	A0A0K2RVK5_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Equine coronavirus	1363	
A0A0K2RVL1	A0A0K2RVL1_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Equine coronavirus	1363	
A0A0P0GPV1	A0A0P0GPV1_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0P0HBE6	A0A0P0HBE6_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0P0HJE7	A0A0P0HJE7_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0P0HTL4	A0A0P0HTL4_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0P0INJ4	A0A0P0INJ4_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	SARS-like coronavirus BatCoV/BB9904/BGR/2008	1262	
A0A0R7E1C7	A0A0R7E1C7_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0R7E3J6	A0A0R7E3J6_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0R7E3W8	A0A0R7E3W8_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0R9USA1	A0A0R9USA1_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0S1TQ87	A0A0S1TQ87_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0S3IUB8	A0A0S3IUB8_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0U1UYX4	A0A0U1UYX4_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	BtRf-BetaCoV/JL2012	1236	
A0A0U1WHH0	A0A0U1WHH0_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	BtRf-BetaCoV/HeB2013	1241	
A0A0U1WHI2	A0A0U1WHI2_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	BtRs-BetaCoV/HuB2013	1241	
A0A0U1WHI6	A0A0U1WHI6_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	BtRf-BetaCoV/SX2013	1239	
A0A0U1WHJ8	A0A0U1WHJ8_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	BtRs-BetaCoV/GX2013	1242	
A0A0U1WHL1	A0A0U1WHL1_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	BtRf-BetaCoV/HuB2013	1241	
A0A0U1WHM0	A0A0U1WHM0_BCHK5	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	BtPa-BetaCoV/GD2013	1353	
A0A0U1WJY8	A0A0U1WJY8_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	BtRs-BetaCoV/YN2013	1233	
A0A0U1WJZ6	A0A0U1WJZ6_BCHK4	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	BtTp-BetaCoV/GX2012	1352	
A0A0U2GKS5	A0A0U2GKS5_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0U2GL10	A0A0U2GL10_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0U2GLD1	A0A0U2GLD1_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0U2GLQ2	A0A0U2GLQ2_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0U2GLS2	A0A0U2GLS2_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0U2GMD9	A0A0U2GMD9_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0U2GMX5	A0A0U2GMX5_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0U2GN44	A0A0U2GN44_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Camel coronavirus HKU23	1366	
A0A0U2GP35	A0A0U2GP35_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0U2GP47	A0A0U2GP47_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0U2GPP3	A0A0U2GPP3_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
